,CTY_SCR_NAME,CTY_SCR_NBR_DY_01,CTY_SCR_NBR_DY_02,CTY_SCR_NBR_WK_01,CTY_SCR_NBR_WK_02,CTY_SCR_NBR_MO_01,CTY_SCR_NBR_MO_02,CTY_SCR_NBR_QT_01,CTY_SCR_NBR_QT_02,CTY_SCR_TGT_01,CTY_SCR_AVG_01,CTY_SCR_AVG_02,CTY_SCR_DEV_01,CTY_SCR_DEV_02,ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_OPEN_DATA_SOURCE,CTY_SCR_METRIC_TYPE,CTY_SCR_DAY,CTY_SCR_WEEK,CTY_SCR_MONTH,CTY_SCR_QUARTER,CTY_SCR_DAY_NAME
114,STREETLIGHT ON-TIME %,0.6111111,18.0,0.6290323,62.0,0.760181,220.0,0.8054755,694.0,0.8,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.7638889,0.7862904000000001,0.9502263000000001,1.0068443999999999,Monday
115,TREE MAINTENANCE ON-TIME %,,,0.9344261999999999,61.0,0.9319371999999999,190.0,0.9658537,1025.0,0.8,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,,1.1680328000000002,1.1649215,1.2073171,Monday
116,ON-TIME PERMIT REVIEWS,0.8235294,17.0,0.7384615,65.0,0.7647059,272.0,0.7655334,853.0,0.75,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Permitting/Approved-Building-Permits/msk6-43c6,Target,1.0980391999999999,0.9846153,1.0196079,1.0207111999999998,Monday
117,BFD RESPONSE TIME,0.8611110999999999,216.0,0.8339694999999999,1572.0,0.8407706,7059.0,0.8384923000000001,21225.0,0.9,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.9567901,0.9266328000000001,0.9341896000000001,0.9316581,Monday
118,EMS RESPONSE TIME,6.1833333,88.0,6.633333299999999,601.0,6.4333333,2587.0,6.3,7833.0,6.0,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.9703504000000001,0.9045226000000001,0.9326424999999999,0.9523809999999999,Monday
119,PART 1 CRIMES,44.0,,52.714285700000005,,50.6774194,,51.7717391,,,62.1451613,62.8043478,7.764667299999999,9.3044899,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.5888597,1.3262027,1.3795065,1.3928223999999998,Monday
120,HOMICIDES (TREND),0.0,,0.0,,0.12903230000000002,,0.0869565,,,0.1451613,0.1467391,0.355139,0.4118335,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,,3.8773261,6.4235865,Monday
121,SHOOTINGS (TREND),0.0,,1.5714286,,1.0645161,,1.1847826000000001,,,0.9677418999999999,1.298913,0.8486777,1.2381896000000001,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,1.1559034,1.7063336,2.1414077000000002,Monday
122,STABBINGS (TREND),1.0,,1.7142857,,1.6774194,,1.9673913,,,1.6290323,1.7934782999999999,1.5495517,1.4787237,2016-09-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,3.178584,1.8541740000000002,1.894925,1.6632186999999998,Monday
123,LIBRARY USERS,10494.0,,9285.714285700002,,9342.2580645,,9365.055555600002,,,8507.5806452,8566.5227273,1232.144493,1191.2518454,2016-09-27 00:00:00,N,https://data.cityofboston.gov/City-Services/Boston-Public-Library-Daily-Active-User-Counts/mzws-sfys,Historical,1.4423878,1.2763103,1.2840822,1.2697914,Monday
124,BFD RESPONSE TIME,0.8019801999999999,202.0,0.8320463,1554.0,0.8411614,7026.0,0.8380736999999999,21201.0,0.9,,,,,2016-09-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.8910891,0.9244959,0.9346238000000001,0.931193,Tuesday
125,EMS RESPONSE TIME,6.0166667,78.0,6.7,597.0,6.4333333,2563.0,6.3,7831.0,6.0,,,,,2016-09-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.9972299000000001,0.8955224,0.9326424999999999,0.9523809999999999,Tuesday
126,SIGNAL REPAIR ON-TIME %,0.9090908999999999,10.0,1.0,86.0,0.9747475,198.0,0.928744,828.0,0.8,,,,,2016-12-16 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.1363636000000001,1.25,1.2184343999999998,1.16093,Thursday
127,STREETLIGHT ON-TIME %,0.6,15.0,0.49180329999999994,61.0,0.6035242,227.0,0.712963,756.0,0.8,,,,,2016-12-16 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.75,0.6147541,0.7544053000000001,0.8912038000000001,Thursday
128,TREE MAINTENANCE ON-TIME %,,,0.9333333,15.0,0.9220779,230.0,0.9344633,885.0,0.8,,,,,2016-12-16 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,,1.1666666,1.1525973999999999,1.1680791000000001,Thursday
